01-nov-16;INTER.ADEL.CC S/ACUERD;53.65;;-110.35
01-nov-16;  DEBITO FISCAL IVA BASICO;11.27;;-121.62
01-nov-16;CARGO SEGURO DE VIDA SALDO DEUDOR;2.14;;-123.76
01-nov-16;IMPDBCR 25413 S/DB TASA GRAL;0.40;;-124.16
03-nov-16;CR COMPENSACION AUTOM. DE FONDOS;;38.16;-86.00
03-nov-16;IMPDBCR 25413 S/CR TASA GRAL;0.23;;-86.23
07-nov-16;DEPOSITO EFECTIVO EN TAS C.C.;;100.00;13.77
07-nov-16;DEPOSITO EFECTIVO EN TAS C.C.;;300.00;313.77
07-nov-16;COM. SERV DESC NO AUTORIZ.;3,240.00;;-2,926.23
07-nov-16;  DEBITO FISCAL IVA BASICO;680.40;;-3,606.63
07-nov-16;RETENCION ING BRUTOS SALTA Suc.:100;4.00;;-3,610.63
07-nov-16;IMPDBCR 25413 S/CR TASA GRAL;2.40;;-3,613.03
07-nov-16;IMPDBCR 25413 S/DB TASA GRAL;23.54;;-3,636.57
07-nov-16;DB COMPENSACION AUTOM. DE FONDOS;375.10;;-4,011.67
07-nov-16;IMPDBCR 25413 S/DB TASA GRAL;2.25;;-4,013.92
09-nov-16;DEPOSITO EFECTIVO EN TAS C.C.;;4,100.00;86.08
09-nov-16;RETENCION ING BRUTOS SALTA Suc.:100;41.00;;45.08
09-nov-16;IMPDBCR 25413 S/CR TASA GRAL;24.60;;20.48
09-nov-16;IMPDBCR 25413 S/DB TASA GRAL;0.25;;20.23
09-nov-16;DB COMPENSACION AUTOM. DE FONDOS;86.08;;-65.85
09-nov-16;IMPDBCR 25413 S/DB TASA GRAL;0.52;;-66.37
25-nov-16;DEPOSITO EFECTIVO EN TAS C.C.;;2,420.00;2,353.63
25-nov-16;DEPOSITO EFECTIVO EN TAS C.C.;;4,000.00;6,353.63
25-nov-16;DEBITO PRESTAMOS REC;1,628.09;;4,725.54
25-nov-16;DEBITO PRESTAMOS REC;1,552.99;;3,172.55
25-nov-16;RETENCION ING BRUTOS SALTA Suc.:100;64.20;;3,108.35
25-nov-16;IMPDBCR 25413 S/CR TASA GRAL;38.52;;3,069.83
25-nov-16;IMPDBCR 25413 S/DB TASA GRAL;19.48;;3,050.35
25-nov-16;DB COMPENSACION AUTOM. DE FONDOS;1,452.08;;1,598.27
25-nov-16;IMPDBCR 25413 S/DB TASA GRAL;8.71;;1,589.56
29-nov-16;DB TR $ M.TIT /CC/E A C A MD;1,500.00;;89.56
29-nov-16;IMPDBCR 25413 S/DB TASA GRAL;9.00;;80.56
