02-dic-16;CR INTERDEPOSITO EN EFECTIVO CA Suc.:108;;15,000.00;16,500.00
02-dic-16;COMISION  DEPOSITO EFECTIVO OTRA SUC Suc.:108;120.00;;16,380.00
02-dic-16;  DEBITO FISCAL IVA BASICO;25.20;;16,354.80
02-dic-16;RETIRO CAJ.AH.;15,000.00;;1,354.80
02-dic-16;RETENCION ING BRUTOS SALTA Suc.:100;150.00;;1,204.80
07-dic-16;MANTENIMIENTO MENSUAL PAQUETE;310.00;;894.80
07-dic-16;  DEBITO FISCAL IVA BASICO;65.10;;829.70
07-dic-16;DB TARJETA DE CREDITO MASTERCARD;72.68;;757.02
07-dic-16;DB TARJETA DE CREDITO VISA;493.68;;263.34
07-dic-16;DB COMPENSACION AUTOM. DE FONDOS;263.34;;0.00
13-dic-16;CR INTERDEPOSITO EN EFECTIVO CA Suc.:108;;15,000.00;15,000.00
13-dic-16;COMISION  DEPOSITO EFECTIVO OTRA SUC Suc.:108;120.00;;14,880.00
13-dic-16;  DEBITO FISCAL IVA BASICO;25.20;;14,854.80
13-dic-16;DEBITO PRESTAMOS REC;1,517.98;;13,336.82
13-dic-16;DB TARJETA DE CREDITO VISA;13,333.28;;3.54
13-dic-16;CR COMPENSACION AUTOM. DE FONDOS;;146.46;150.00
14-dic-16;RETENCION ING BRUTOS SALTA;150.00;;0.00
16-dic-16;CR INTERDEPOSITO EN EFECTIVO CA Suc.:108;;15,000.00;15,000.00
16-dic-16;COMISION  DEPOSITO EFECTIVO OTRA SUC Suc.:108;120.00;;14,880.00
16-dic-16;  DEBITO FISCAL IVA BASICO;25.20;;14,854.80
16-dic-16;RETIRO CAJ.AH.;14,000.00;;854.80
16-dic-16;RETENCION ING BRUTOS SALTA Suc.:100;150.00;;704.80
16-dic-16;DB COMPENSACION AUTOM. DE FONDOS;151.79;;553.01
21-dic-16;CR INTERDEPOSITO EN EFECTIVO CA Suc.:108;;19,860.00;20,413.01
21-dic-16;COMISION  DEPOSITO EFECTIVO OTRA SUC Suc.:108;158.88;;20,254.13
21-dic-16;  DEBITO FISCAL IVA BASICO;33.36;;20,220.77
21-dic-16;RETIRO CAJ.AH.;20,000.00;;220.77
21-dic-16;RETENCION ING BRUTOS SALTA Suc.:100;198.60;;22.17
26-dic-16;DEBITO PRESTAMOS REC;22.17;;0.00
30-dic-16;CAPITALIZACION AH;;0.16;0.16
