01-dic-16;INTER.ADEL.CC S/ACUERD;13.67;;66.89
01-dic-16;  DEBITO FISCAL IVA BASICO;2.87;;64.02
01-dic-16;CARGO SEGURO DE VIDA SALDO DEUDOR;0.56;;63.46
01-dic-16;IMPDBCR 25413 S/DB TASA GRAL;0.10;;63.36
07-dic-16;COM. SERV DESC NO AUTORIZ.;270.00;;-206.64
07-dic-16;  DEBITO FISCAL IVA BASICO;56.70;;-263.34
07-dic-16;IMPDBCR 25413 S/DB TASA GRAL;1.96;;-265.30
07-dic-16;CR COMPENSACION AUTOM. DE FONDOS;;263.34;-1.96
07-dic-16;IMPDBCR 25413 S/CR TASA GRAL;1.58;;-3.54
13-dic-16;DB COMPENSACION AUTOM. DE FONDOS;146.46;;-150.00
13-dic-16;IMPDBCR 25413 S/DB TASA GRAL;0.88;;-150.88
16-dic-16;CR COMPENSACION AUTOM. DE FONDOS;;151.79;0.91
16-dic-16;IMPDBCR 25413 S/CR TASA GRAL;0.91;;0.00
